"text","label"
"Today is a good day. It is Tuesday. I wake up at seven o'clock in the morning. I eat breakfast. I eat bread and drink coffee. My mom makes breakfast. After breakfast, I go to school. I go to school by bus. The bus is fast. At school, I study English, Math, and Science. My English teacher is Mr. Davis. He is very nice. He helps me with new words. I eat lunch at twelve thirty. My friends, Anna and Tom, eat with me. We talk and laugh. After school, I go home. I arrive home at four o'clock. My dog, Max, is happy to see me. He runs to me. I play with Max in the garden. He loves to play with a red ball. Then, I do my homework. My homework is for Math. It is difficult, but I try. My dad helps me. He is smart. At seven o'clock, we have dinner. We eat chicken and rice. My family is at the table. We talk about our day. After dinner, I watch TV. I watch a movie. The movie is about a cat. The cat is funny. At ten o'clock, I go to bed. I am tired. I sleep well. I like my day. It is a good day. My family is great. My dog is great. My friends are great. I am happy. I love my life. I am happy in my house. My house is big. My room is blue. I have a bed, a desk, and a chair. It is comfortable. I like my room very much. It is quiet. I can read my books in my room. My favorite book is about a small car. The car can fly.","A1"
"Subject: My Weekend
Hi Maria,
How are you? I am good. My week is busy. I have school and I have homework. I am happy it is Friday now. The weekend is here! This weekend is my birthday. My family is having a party for me on Saturday. My grandma and grandpa are coming. My aunt and uncle are coming too. They live in the city. The party is at my house. My mom is making a big cake. The cake is chocolate. Chocolate is my favorite. My dad is buying pizza. Pizza is my favorite, too! My friends are coming also. You, Tom, and Mike are coming. I am happy to see you. We can play games. We can listen to music. We can talk and laugh. On Sunday, I am going to the park. The park is very big. There are trees and flowers. The weather is nice. I can run in the park. My brother wants to go to the park, too. We can ride our bikes. I love my bike. It is red. The park is near the river. I like the river. It is beautiful. I will tell you about my birthday party on Monday. I hope you can come. I am excited. I am happy. It will be a fun weekend. What are you doing this weekend? Do you have plans?
Best wishes, Alex
","A1"
"My name is David. I have a big family. I have a mom, a dad, a sister, and a brother. My mom’s name is Sarah. She is 45 years old. She is a teacher. She is very kind. She likes to read books. My dad’s name is Mark. He is 48 years old. He is a doctor. He works in a hospital. He is very smart and tall. My sister’s name is Emily. She is 12. She is a student in middle school. She has long, brown hair. She likes to play soccer. My brother’s name is Sam. He is 7. He is small. He likes to play with toy cars. He is a happy boy. We live in a big, blue house. The house has a garden. We have two pets. We have a cat and a dog. The cat’s name is Luna. She is black and white. She is very small. She sleeps a lot. She likes to eat fish. The dog’s name is Buddy. He is big and brown. He is very active. He likes to run and play. He likes to eat meat. He is a friendly dog. We play with Buddy in the garden. We like our pets very much. My family is the best. We have dinner together every night. We talk and share our day. I love my family and my pets. They are very important to me. I am happy with them.","A1"
"My hometown is called Springville. It is a small city. I like it very much. The weather is often sunny. The city has a big park. The park is called Central Park. It has many green trees and colorful flowers. There is a small lake in the park. You can see ducks in the lake. My friends and I often go to the park on the weekend. We play football or have a picnic. Springville has a big supermarket. The supermarket is near my house. I go there with my mom. We buy food and drinks. The city has two schools. My school is called Springville High School. It is a good school. My teachers are helpful. There is a cinema in the city, too. The cinema is small, but it is nice. I watch movies with my family. My favorite movie is about a superhero. There is also a library in Springville. The library is very quiet. I go to the library to study. The city has a police station and a fire station. The firemen are very brave. There are not many cars in Springville. The streets are not busy. It is a quiet and calm city. I love to walk in the city. The people are friendly. I am happy in Springville. It is a good place to live.","A1"
"Last year, I went on a trip with my family. We went to the beach. The beach is far from my house. We traveled by car. The car ride was long. We saw many trees and fields. We also saw big mountains. The weather was very hot. We stayed in a small hotel. The hotel room was nice. It had two beds. The beach was beautiful. The sand was white and soft. The water was blue and warm. I played in the water with my brother. My mom sat in a chair. My dad took photos. We built a big sandcastle. It was a very big sandcastle. My brother and I worked together. It was fun. We ate a lot of ice cream. My favorite ice cream is vanilla. My brother’s favorite is chocolate. We went swimming every day. We also looked for seashells. I found many small, beautiful shells. I put them in a bag. We ate dinner at a restaurant every night. The food was very good. We ate fish and French fries. My mom likes salad. The trip was for five days. I was happy there. We went home on Sunday. I was tired but happy. I love the beach. It was a very good trip. I want to go to the beach again next year. I like traveling with my family. It is fun.","A1"
"Dear Maria,
Hello from Spain! I am on vacation here with my family. We arrived two days ago and the weather is very hot and sunny. We are staying in a small hotel near the beach. It's a nice hotel, and the food is great. We eat dinner late here, at 9:00 p.m., which is different from home.
Yesterday, we went to the beach. The water was warm, and we swam for a long time. I like to read my book and listen to music, and my brother likes to play football on the sand. Today, we are going to a small town. It is famous for its old buildings and market. I want to buy a present for my mom. Maybe I can find a nice scarf or some local sweets.
Tomorrow is our last day. We are sad to leave. It's been a wonderful trip. I will see you next week. We can have coffee and I will tell you everything about our vacation. I have many photos to show you.
Best wishes, Anna","A2"
"Welcome to the team!
Hi Simon,
Welcome to our team! My name is David, and I work in the marketing department. I heard that you are starting on Monday, and I wanted to say hello. My desk is on the third floor, near the big window. We will be working together on the new project for the summer. I am excited to work with you.
I hope you like our office. There is a small kitchen with a coffee machine on every floor. The coffee is very good! We also have a nice place to eat lunch outside when the weather is warm. People usually eat lunch around 1:00 p.m.
The team is going out for a drink on Friday after work. It’s a good chance to meet everyone. We are going to a pub called ""The Green Dragon,"" which is close to the office. It is at 6:00 p.m. You should come if you can. It would be great to get to know you before the project starts.
See you on Monday, David","A2"
"Last weekend, I had a very busy two days.
On Saturday morning, I woke up early. I had a lot to do. First, I went to the supermarket to buy food. I needed bread, milk, eggs, and some vegetables for dinner. The supermarket was very full, and I waited for a long time at the checkout. After that, I went to the post office to send a letter to my sister. She lives in another city, so I always send her letters.
In the afternoon, I cleaned my apartment. I washed the dishes, vacuumed the floor, and tidied my room. My friend Mark called me at 4 p.m. We decided to watch a film together at my place. We watched a comedy, and it was very funny.
On Sunday, I met my parents for lunch. We went to a small restaurant near the park. The food was delicious. After lunch, we walked in the park and talked. I told them about my week at work. We had a great time together. On Sunday evening, I was very tired, but I was also very happy because I had a good weekend.","A2"
"I went to this restaurant with my family last night. It is a new place in my neighborhood. The restaurant is small but very nice and clean. The chairs are red, and the walls are white. The music was not too loud, which was good.
The food was excellent! I ordered a pizza with mushrooms and cheese, and my wife had pasta with tomato sauce. The pizza was very big, and it was hot and fresh. My wife said her pasta was also great. We also drank some juice and had ice cream for dessert. The dessert was my favorite part. The price was not too high. We paid about 40 euros for everything, which is a good price for a family dinner.
The service was also very fast and friendly. The waiter was very nice and smiled a lot. He asked us if everything was good. He was very helpful. I will definitely go to this restaurant again. I want to try their soup next time. I recommend this place to everyone.","A2"
"Today was a normal but busy day. I woke up at 7:00 a.m. I had a quick breakfast of toast and coffee. Then, I got ready for work. I take the bus to my office, and the journey is usually about thirty minutes. My work starts at 8:30 a.m. I had a meeting with my team this morning. We talked about a new project. It was a good meeting.
For lunch, I went to a small café near my office. I ate a sandwich with chicken and salad. It was a nice break. In the afternoon, I had to write an important report. It took me a long time, but I finished it. I left work at 5:00 p.m.
When I got home, I cooked dinner. I made a simple soup. After dinner, I called my friend, Mark. We talked about our plans for the weekend. We are going to play tennis on Saturday morning. I am looking forward to it. I also read a book for a little while before going to bed. It was a long day, but a good one.","A2"
"Last weekend, I decided to take a short trip to Berlin. I had always wanted to visit the city because I heard it has a lot of history and a very modern, exciting feel. I went with my friend, Laura, and we had an amazing time. We arrived on Friday afternoon and checked into our small hotel near the city center.
On Saturday, we started our day by visiting the Brandenburg Gate. It was so impressive! It's much bigger than I imagined. After taking some photos, we walked along the famous Unter den Linden street. We also saw the Reichstag Building and the Memorial to the Murdered Jews of Europe. Later, we visited the East Side Gallery. It's an open-air art gallery on a part of the old Berlin Wall. The paintings were so colourful and powerful. It was really interesting to see. In the evening, we ate delicious currywurst, a popular street food here, and listened to some live music in a small bar.
On Sunday, we explored a different part of the city. We went to the Museum Island and visited a few museums. My favorite was the Pergamon Museum. The collection of ancient artifacts was incredible. Before we left, we went shopping for some souvenirs. I bought a small model of the TV Tower for my brother. It was a fantastic weekend. The weather was great, the food was delicious, and the city was full of amazing things to see and do. I would definitely recommend visiting Berlin!","B1"
"Every summer, a wonderful event takes place in the heart of our city: the annual Jazz Festival. The festival is held in Central Park and attracts thousands of visitors from all over the country. It is a three-day event, usually in the second weekend of July, and it is completely free to the public. It's an excellent opportunity to relax and enjoy some great music.
The festival features a variety of musicians and bands, from local amateur groups to famous international performers. They play on different stages scattered throughout the park, so there is always music playing, and you can walk from one stage to another to hear different styles of jazz. Last year, I went with my family, and we really enjoyed the performances. The atmosphere is very relaxed and friendly. People sit on the grass with blankets and picnic baskets, enjoying the music and the beautiful summer weather.
Besides the music, there are also many food stalls where you can buy different types of international food, like tacos, noodles, and fantastic hamburgers. You can also find stands selling handmade jewellery and other crafts. The festival is a great way for families and friends to spend time together, and it's a very popular event in the city's calendar. I am already looking forward to going again this summer!","B1"
"Dear Ms. Evans,
My name is Anna Kovac, and I am writing to apply for the volunteer position that I saw advertised on the library’s website. I have been a regular visitor to our city library for many years, and I am very interested in helping with the daily tasks. I believe this would be a great opportunity for me to contribute to my community and to learn more about how a library works.
I am a student at the local college, and I am currently studying literature. I am very organized and reliable, and I am happy to help with a variety of tasks, such as sorting books, helping visitors find information, and organizing events. I also have some experience with computer systems, as I helped with the administrative work in my previous part-time job at a bookstore. I am available to work on weekends and evenings, so I can fit the volunteering hours around my college schedule.
I am very enthusiastic about books and reading, and I believe my passion would be a good fit for your team. I look forward to hearing from you soon and discussing my application further. Thank you for your time and consideration.
Sincerely, Anna Kovac","B1"
"Thank you for your email. I am sorry to hear that you are having trouble finding a new flat. It can be a very difficult process, but don’t worry, I think I can give you some useful advice. I had the same problem last year, but I found a great place in the end.
First, you should think about what is most important for you. Do you want to live near your work or near the city center? How many rooms do you need? And how much money can you spend on rent? It is important to know this before you start looking.
Next, you need to look online. There are many good websites with information about flats for rent. You can use filters to search for flats that have everything you need. It is a good idea to create a list of possible places and contact the landlords as soon as possible, as the best flats are rented very quickly. When you visit a flat, you should ask a lot of questions. For example, you can ask about the cost of electricity and water, and if the neighbors are quiet. It is also a good idea to take photos so you can remember the place later. Don’t get discouraged if you don’t find something immediately. Just keep looking, and I am sure you will find a great place soon.
Good luck! Let me know if you need any more help.
Best wishes, Paul","B1"
"I recently watched a film called ""The Secret Garden."" It is based on a famous book, and it is a fantasy-drama film. The story is about a young girl named Mary Lennox who goes to live with her uncle in England after her parents die. Her uncle's house is very big and old, and he is a very sad and lonely man. Mary feels sad and lonely, too, and she starts to explore the house and the gardens around it.
One day, she finds a secret garden that has been locked for ten years. With the help of a boy named Dickon and her cousin Colin, she begins to bring the garden back to life. As the garden becomes more beautiful, Mary and her cousin also become happier and healthier. The film is beautifully made, and the colors are amazing. The acting is also very good, especially from the young actors who play Mary and her friends.
I really enjoyed this film because it is a very hopeful story about friendship and nature. It shows that even when people are sad, they can find happiness and change their lives. I would recommend this film to anyone who enjoys stories about magic and friendship. It’s a perfect film for the whole family to watch together.","B1"
"Kyoto, the ancient capital of Japan, is a city often synonymous with serene temples and vibrant geisha districts. While these elements undoubtedly form the core of its charm, a deeper exploration reveals a city that seamlessly blends historical reverence with contemporary creativity. Beyond the well-trodden paths of Kiyomizu-dera and Fushimi Inari-taisha, Kyoto offers a wealth of experiences for the discerning traveler.
For those interested in local culture, the Nishiki Market, a bustling street known as ""Kyoto's Kitchen,"" is an essential stop. Here, vendors sell everything from traditional pickled vegetables and fresh seafood to unique sweets and kitchenware. It’s a feast for the senses and provides a fascinating glimpse into the daily life of Kyoto's residents. Another highlight is the Gion district at twilight, where you might catch a glimpse of a geiko or maiko (geisha in training) on her way to an appointment, a truly magical sight that feels like stepping back in time.
Furthermore, Kyoto's artistic scene is thriving. Tucked away in small alleyways are countless galleries, independent craft shops, and tranquil tea houses. The Arashiyama Bamboo Grove is a stunning natural wonder, offering a peaceful escape from the city's hustle and bustle. The light filtering through the towering stalks of bamboo creates a mesmerizing effect, and the rustling leaves produce a unique, soothing sound. In essence, Kyoto is not just a city to be seen, but a city to be experienced, with each moment offering a new layer of discovery.","B2"
