text,label
"In den letzen Jahrzehnten sieht man , dass sich immer mehr Leute dafür entscheiden eine Universität zu besuchen . Was besonders interessant ist , ist , dass die meisten Studenten darum beklagen , dass ihr Studium sie nicht für die wirkliche Welt und ihre berufliche Zukunft vorbereitet . Warum aber geben sich so viele Menschen Mühe daran zu studieren ? Auch Menschen , die älter sind und die ihr Studium abbgebrochen haben wollen sie nach vielen Jahren weitermachen und es abschliessen . Die meisten Universitäten der Welt haben eine lange Tradition . Sie entstanden in Zeiten , wann es ungefähr keine Notwendigkeit gab etwas anders als die Theorie zu lernen . Aber heute ist alles anders als es damals war . Mit der Entwicklung der Technologie braucht man unbedingt sich gut mit ihr umzugehen . In jedem Bereich gibt es täglich so viele Weiterentwicklungen und Neuheiten , dass man ständig informiert sein muss um dann sein Beruf erfolgreich auszuüben . Deshalb ist es wichtig auch ein bißchen mehr über die Praxis zu wissen . Aber in den meisten Fällen das ist nicht der Fall . Die meisten Fakultäten der Universitäten orientieren sich mehr daran ihren Studenten die Theorie beizubringen . Meistens studieren sie für vier oder fünf Jahren und wenn sie ihr Studium abschliessen fühlen sie sich , als ob sie nichts gelernt haben , als ob die Jahre ihres Studiums eine totale Zeitverschwendung war . Nach ihrem Studium befinden sie sich in der Lage eine Arbeit zu finden . Zugleich fühlen sie sich , dass niemand hat ihnen gesagt , was nach dem Studium kommt . Ist dass aber genugender Grund um zu behaupten , dass die Universitätsabschlüsse von geringem Wert sind und dass man nicht mehr in einer Universität studieren braucht ? Die Antwort ist natürlich selbstverständlich . Das Ziel jeder Universität ist nicht wirklich ihre Studenten für ihre zukunftige Arbeit vorzubereiten . In der Tat , sie wollen die Studenten ausbilden . Das heißt , dass sie versuchen ihren Studenten so viel wie möglich die universelle Werte der Menschheit beizubringen . Das kann nur dann passieren , wenn sie sich mehr mit dem Geist des Menschen beschäftigen . Man sollte eine Universität besuchen nicht um ein erfolgreiches Berufsleben zu haben sondern um sich selbst besser kennen zu lernen . Mit Hilfe seines Studiums kann jeder Student seine Horizonte erweitern . Er kann seine Persönlichkeit entdecken und weiterentwickeln . Das kann dazu führen , dass er auch seine Mitmenschen besser empfinden kann . Es muss aber auch betont werden , dass es auch Studien gibt , für die man die Praxis nicht vermeiden kann oder darf . Stellen Sie vor zum Beispiel einen Arzt , der keine praxisorientierte Ausbildung hat . Für solche Berufe ist es ganz sinnlos , wenn es keine Praxis gibt . Die beste Lösung wäre eine sinnvolle Mischung von Praxis und Theorie zu haben . Die Praxis ist etwas , dass man in unseren Zeiten nicht mehr vermeiden kann aber auch die Theorie spielt eine ganz besondere und wichtige Rolle . Wahrscheinlich muss man beides haben um ein wirklich komplett Universitätsabschluss zu haben .",C2
"13.03.12
Hallo Julia! Wie geht´s? Mir geht´s gut. ich habe eine Frage. Ich habe eine Fahrkarte für einen Wochenendausflug gekauft. Aber kann ich nicht. Die Fahrkarte ist für 14.03 ~ 19.03. Aus Stadt X nach Stadt Y am 17.03 und aus Stadt Y nach Stadt X am 19.03. Ich wollte mein Freund besuchte, aber habe ich mein Lektion mit meinem Lehrer vergesst. Ich möchte dir die Fahrkarte verkaufen, wenn du kaufen möchtest. Es war 70.- €, aber möchte ich nur 40.-€. Antwortest du mir, ob du möchtest. Schreibst du mir E-mail, oder rufst du mir an. Aber bevor Freitag! 
Alles gute, bis bald. 
Dein Michael",B1
"Seit einige Jahren ist Stadt X eine paradiesische Stadt für Studenten vor allem, speziell wegen ihre Wohnungsmarkt. Die Miete sind bekannt, um relativ billig zu sein. unter anderen wenn man es mit anderen europeischen Hauptstadten vergleicht. Abhängig von dem Bezirk oder Kiez ist es relativ einfach ein Wohnung zu mieten, allein in einem Studio zum Beispiel oder in einem WG. Es gibt in der Tat unterschiedliche Angebote und Möglichkeiten entweder für Familien oder  für Einselheiten. Als Einselheit schien es wahrscheinlich einfacher etwas zu finden, speziell in Stadtteil A oder Stadtteil B. Dort gibt es viele Studenten als die Miete nicht sehr hoch ist und viel los ist. Für was mit Familien angeht, ist Stadt X auch eine passende Stadt. Bezirke wie Stadtteil C sind sehr beliebt, weil es ruhig sind und sicher für die Kindern sind. Außerdem kann man ohne große Problem ein Kita in der Nähe finden, und zahlreiche Spielparken überall, damit die Kindern und die Eltern schöne Zeit zusammen bringen können. Selbstverständlich achtet man nicht um die gleichen Kriterien, ob man entweder kauft oder, mietet ein Haus oder eine Wohnung. Man muss auf jeden Fall erst die Wohnung besichtigen, damit keine schlechte Überraschungen erschienen. Den Preis liegt für meisten auf allergrößten Wert, speziell für die Familien. Es wird sicherlich teuerer aber auch schwieriger einen im Stadtzentrum zu finden. Deshalb würde ich Ihnen vorschlagen entweder in Umgebung ein Haus kaufen oder im Stadtzentrum ein Wohnung mieten.",B2
"Liebe Freundin-
Ich will mitt meine Freundin 
Schwimmen gehen.
Daniela hast do Sate.
Ruf mir an wir gan sasamen.
Daniela bringt Falibs und Wassa mit.
viel Gurse und Liebe-",A1
"1. Hermeneutik ist ein Verfahren der Textauslegung, das die Bedeutung eines Textes aus der Geschlossenheit ableitet, indem Wortbedeutungen und Textbedeutung sich gegenseitig festlegen. Die Einheit des Textes, d.h. seine Ganzheit und Koh�renz, die somit erst das Verstehen erm�glicht, gilt es zu rekonstruieren, weil sie ein Kriterium f�r die Richtigkeit der Interpretation ist.
2. Franz Kafkas Erz�hlung 'Vor dem Gesetz' eignet sich nach Witte deshalb f�r eine hermeneutische Analyse, weil sie sich durch ihre Geschlossenheit auszeichnet, die sich in der selbst�ndigen Ver�ffentlichung des Textes best�tigt. Dass der Autor als formaler Garant der Einheit des Textes sich f�r die Auskopplung entschieden hat und zudem ausnahmsweise sehr zufrieden war, wird als Indiz f�r die ausgepr�gte Koh�renz des Textes gewertet.
3. Paradox ist nach Witte zun�chst, dass das angeblich immer offenstehende Gesetz von einem den Eintritt verwehrenden T�rh�ter bewacht wird, und dass der Mann vom Lande die sich bietende Chance zum von ihm begehrten Eintritt in das Gesetz nicht nutzt, sondern nur hineinschaut. Entgegen seiner urspr�nglichen Intention, in das Gesetz zu gelangen, befasst sich der Mann f�r den Rest seines Lebens mit dem T�rh�ter.
Das Ende des Textes wirft ein weiteres Paradox auf: Entweder wird dem Mann erst im Moment des Todes das gew�hrt, was er sein Leben lang vergeblich angestrebt hat, oder er hat bis einschlie�lich zu seinem Tod das exklusiv f�r ihn Bestimmte trotz aller Bem�hungen nicht erhalten. Die Ambivalenz zwischen den zwei gegens�tzlichen Deutungsvarianten ist nicht aufzul�sen.",C2
Heute Abend gehe ich mit meiner Familie ins Restaurant. Wir haben einen Tisch reserviert. Das Restaurant ist gemütlich. Der Kellner bringt uns die Speisekarte. Wir studieren die Karte. Es gibt viele leckere Gerichte. Ich bestelle eine Suppe und dann Fisch mit Gemüse. Mein Mann nimmt ein Steak. Die Kinder wollen Spaghetti. Wir trinken Wasser und Wein zum Essen. Das Essen schmeckt sehr gut. Zum Nachtisch nehmen wir Eis. Wir unterhalten uns und lachen viel. Es ist ein schöner Abend. Am Ende bezahlen wir und geben Trinkgeld. Wir werden sicher wieder in dieses Restaurant kommen.,A1
"Kuba: ohne Musik und Tanz geht gar nichts
Kuba ist ein Land mit vielen Traditionen, die aus zwei Wegen kommen: Spanien und Afrika. Mit der Kolonisation wurden vielen afrikanische als Sklaven von Spanischen nach Kuba mitgebrach. Natürlich sind sie mit ihren Kultur und Traditionen gekommen
Welche Traditionen?
Wir können mit den Religion beginne: Katolische und Yoruba. Beim Katolische haben wir Traditionen wie Taufe, Hochzeit, Konfirmation. Beim Yoruba auch Taufe, Feste mit bestimmteten Rituales wie Schlachtungen des Tieres, besonderes Essen und Tanzen, die verschiedenen Heilige repräsentieren: Heilige der Meer, Fluss, Bald, Wegen. Traditionen wie Geburtstagparty, Mutter- und Vatertagfeier haben wir auch.
Der 15. Jährigefeier ist eine der besonderten Festes, die eine Junges Mädchen in ihres Lebens hat. Es ist der Schrit von Kinderheit zum Erwarsene. Fast Jeder von unseren Traditionen existieren nicht ohne Musik und Tanzen. Der Kubaner braucht nur eine Melodie hören um ihres Körper mit Ritmus zu bewegen. Das hilft es uns um eine Gute Physik und seeliche Gesunheit zu haben. Etwas dass wir im Ausland fortzusetzen können. Genauso wie wir von Spanien und Afrika bekommen haben So werden die Länder mehr zusammen sein",B2
"Stadt X 10.03.2012
Akademie Klausenhof - Bahnhofsstraße
100 Stadt X
 
Sehr Geerhte Damen und Herren 
Ich suche eine Wohnung. Die muss etwas drei Zimmer und ein Balkon hat. Ich bin Arzt, Ich möchte mit meiner Freunde leben. Die wohnung Soll 70-80 m² hat. Wie hoch ist die wohnung miete? Ich habe eine Katze. (Heißt Eva) Ich möchte eine Afzug in die Wohnung
Mit Freundliche Grüßen
Michael Friedrich Meier",A2
"Pragmatische Erwerbsprinzipien
Der Text besch�ftigt sich mit dem Erwerb des Wortschatzes bei Kindern. Ihre Erwerbsaufgabe besteht darin, aus dem Input die neuen W�rter zu isolieren und in ihr mentales Lexikon aufzunehmen. Dabei werden im Laufe der Zeit die W�rter mit ihren jeweiligen phonologischen, morphologischen, syntaktischen, semantischen und pragmatischen Eigenschaften abgespeichert. Eine wichtige Phase des Spracherwerbs stellt dabei der Wortschatzspurt dar, bei welchem Kinder ab zwei Jahren durchschnittlich zehn neue W�rter lernen. Mit sechs Jahren verf�gen die Kinder �ber einen ungef�hren Wortschatz von 14.000 W�rtern. Clark unterteilt diesen Aspekt des Spracherwerbs in zwei pragmatische Prinzipien: Das Prinzip der Konventionalit�t und das Prinzip des Kontrasts. Nach Ersterem muss das Kind lernen die Konventionen der Sprachgemeinschaft lernen, nach welchen f�r jede Bedeutung eine Form existiert. Es gilt zu lernen in welchem pragmatischen Kontext welches Wort als angemessen betrachtet wird. So sollte z.B. nicht das Wort ""Unterrichtender"" verwendet werden, wenn es besser durch das konventionelle Wort ""Lehrer"" ersetzt werden kann. Das Prinzip des Kontrasts orientiert sich an der Annahme der Sprecher, dass Unterschiede hinsichtlich der Form auch Unterschiede in der Bedeutung signalisieren m�ssten. So wird ein Kind, das bisher immer nur mit dem Wort Opa konfrontiert wurde, verwirrt sein �ber den Ausdruck Gro�vater und meinen dieser m�sste etwas anderes bedeuten. Die beiden von Clark beobachteten Prinzipien sind ""pragmatisch"" zu nennen, da nur durch Beobachtungen der konkreten Sprechsituation entnommen werden kann, welche Form-Bedeutung-Zuordnung den gesellschaftlichen Konventionen entspricht. Das Prinzip des Kontrastes ist dabei eng mit ""pragmatischen Schlu�prozessen"" verbunden. So verwenden auch Erwachsene h�ufig Neubildungen, doch im Gegensatz zu dem noch lernenden Kind sollte er wissen das diese nur verwendet werden, wenn keine gleichbedeutenden Bildungen existieren. Dieses Wissen wird ""pragmatischer Schlu�prozess"" genannt. Dar�ber hinaus wird zwischen ""legitimen"" Neubildungen, also solchen f�r die kein konventionelles, gleichbedeutendes Wort existiert und ""illegitimen"" Neubildungen, f�r den Fall, in dem schon ein konventionelles Wort besteht, unterschieden. Im Laufe des Spracherwerbs sollte dieses Prinzip auch eine Rolle bei der ""Selbstkorrektur kindlicher Lexikoneintr�ge"" spielen und daf�r verantwortlich sein das  das konventionell ""bessere"" Wort in Zukunft verwendet wird. Die beiden genannten Prinzipien helfen zusammenfassend den Erwerb von Wortbedeutung und die Geschwindigkeit des Erwerbs von W�rtern zu verstehen.Unbekannt ist jedoch weitgehend wann und wie diese mit anderen Prinzipien erfasst werden. Eine gesicherte Kenntnislage w�rde ebenfalls in gro�em Ma�e ein Bereicherung f�r die erwachsenensprachliche Pragmatik bedeuten.",C2
"In den letzten Zeiten spricht man immer mehr über das Problem von Leuten, die aus ihrem ursprünglichen Heimat flüchten. Diese Personen sind als ""Migranten"" bezeichnet. In den meisten Fällen landen diese Personen nach einer langwierigen und abenteuerlichen Flucht in unser Land. Die Kulturen aus den sie stammen sind diversen, und auch die Einstellungen und Meinungen der Leuten gegenüber die Migranten sehr unterschiedlich sind. Ferner sind die Auswanderer oft ohne Dokumente und krank, und auf diesem Weg wird das Hilfe der Ärtzten und Freiwilligen nutzvoll. Nach diesen ersten Schritten, wenn die Migranten in den neuen Land sich integriert haben, entsteht das Risiko, dass sie ihre Traditionen und Kultur verlieren können. Wenn man im Ausland für eine Weile wohnt, ist es fast unmöglich unsere Traditionen nicht ändern, weil die neue Kultur und die neue ""Welt"" in dem wir wohnen eine um starke Prägung auf uns spielt. Allerding finde ich bedeutungsvoll unsere Traditionen und die Hauptsache, das Land aus dem wir stammen nicht vergessen. Das bedeutet aber nicht, dass wir nicht in die neue Kultur eintauchen mussen. Es ist wichtig als Migrant die Sprache
und die Sitten und Gebräuche des neuen Landes kennen zu lernen. Dadurch kann man auch unsere Kenntnissen und Kultur erweitern und sozusagen Bürger der Welt werden. Die Kultur und die Sprache des Landes kennen zu lernen, gibt uns diversen Möglichkeiten. Es ist nicht denkbar in einem Land zu wohnen und die Sprache des Landes nicht kennen. Aus diesem Grund wird die Sprache und die Kultur des neuen Landes eine Art von Voraussetzungen um schneller und besser sich um die neue Gesellschaft zu integrieren, und um eine Arbeit, in dem Bereich in dem wir bessere Chancen haben können, zu finden.
Meiner Meinung nach ist es wichtig die Traditionen des Heimatlandes nicht vergessen, aber die Kultur und die Traditionen des neuen Landes kennen zu lernen.",C2
